File Version,BWSpec4.11_1
25,784.55,12746.23,-7.38,1077.0000,65535.0000,65535.0000,64458.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
26,784.70,12743.75,-4.90,1053.0000,65535.0000,65535.0000,64482.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
27,784.85,12741.27,-2.42,1076.0000,65535.0000,65535.0000,64459.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
28,785.00,12738.79,0.06,1097.0000,65535.0000,65535.0000,64438.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
29,785.16,12736.32,2.54,1077.0000,65535.0000,65535.0000,64458.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
30,785.31,12733.84,5.01,1057.0000,65535.0000,33988.3333,32931.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
31,785.46,12731.37,7.49,1099.0000,65535.0000,12998.3333,11899.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
32,785.61,12728.89,9.96,1041.0000,65535.0000,7095.0000,6054.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
33,785.77,12726.42,12.44,1086.0000,65535.0000,4940.6667,3854.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
34,785.92,12723.95,14.91,1079.0000,65535.0000,3906.0000,2827.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
35,786.07,12721.48,17.38,1107.0000,65535.0000,3173.6667,2066.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
36,786.22,12719.01,19.85,1095.0000,65535.0000,2724.3333,1629.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
37,786.38,12716.54,22.32,1122.0000,65535.0000,2425.3333,1303.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
38,786.53,12714.07,24.78,1096.0000,65535.0000,2188.0000,1092.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
39,786.68,12711.60,27.25,1105.0000,65535.0000,2040.6667,935.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
40,786.84,12709.14,29.72,1102.0000,65535.0000,1918.3333,816.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
41,786.99,12706.67,32.18,1063.0000,65535.0000,1844.6667,781.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
42,787.14,12704.21,34.64,1087.0000,65535.0000,1828.6667,741.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
